BLUES.
No. | Names. | Colours. | ANIMAL. | VEGETABLE. | MINERAL. 
24.  | Scotch Blue. |       | Throat of Blue Titmouse. | Stamina of Single Purple Anemone. | Blue Copper Ore. |

25.  | Prussian Blue.|      | Beauty Spot on Wing of Mallard Drake. | Stamina of Bluish Purple Anemone. | Black Copper Ore |

26.  | Indigo Blue |           |          |           | Blue Copper Ore. | indicus

27.  | China Blue |      | Rhynchites Nitens | Back Parts of Gentian Flower. | Blue Copper Ore from Chessy. |

28.  | Azure Blue. |      | Breast of Emerald crested Manakin. | Grape Hyacinth Gentian. | Blue Copper Ore. | azureus 

29.  | Ultra marine Blue. |      | Upper Side of the Wings of small blue Heath Butterfly. | Borrage. | Azure Stone or Lapis Lazuli.| ultramarinius 

30.  | Flax-flower Blue. |      | Light Parts of the Margin of the Wings of Devil's Butterfly. | Flax flower. | Blue Copper Ore | cyanicolors

31.  | Berline Blue. |      | Wng Feathers of Jay. | Hepatica. | Blue Sapphire. | cyanleus 

32.  | Verditter Blue |      |           |           | Lenticular Ore. |

33.  | Greenish Blue |      |            | Great Fennel Flower.  | Turquois. Flour Spar. | turciereus 

34.  | Greyish Blue. |      | Back of blue Titmouse | Small Fennel Flower. | Iron Earth. | cryruleus








