PURPLES.
No. | Names. | Colours. | ANIMAL. | VEGETABLE. | MINERAL. 
35.  | Bluish Lilac Purple |       | Male of the Lebellula Depressa. | Blue Lilac. | Lepidolite. |

36.  | Bluish Purple.|      | Papilio Argeobus. Azure Blue Butterfly. | Parts of White and Purple Crocus. |       |

37.  | Violet Purple |           |          | Purple Aster  | Amethyst. | 

38.  | Pansy Purple.|      | Chrysomela Gogettingensis. | Sweet-scented Violet. | Derbyshire Spar.| 

39.  | Campa-nula Purple. |      |         | Canterbury Bell. Campanula Persicifolia. | Fluor Spar. | 

40.  | Imperial Purple. |       |         | Deep Parts of Flower of Saffron Crocus.| Fluor Spar. | 

41.  | Auricula Purple. |      | Egg of largest Blue-bottle. or Flesh Fly. | Largest Purple Auricula. | Fluor Spar. | 

42.  | Plum Purple. |      |           | Plum. | Fluor Spar. | prunineus 

43.  | Red Lilac Purple. |      | Light Spots of the upper Wings of Peacock Butterfly. | Red Lilac Pale Purple Primrose. | Lepidolite. |

44.  | Lavender Purple. |      | Light Spots of the upper Wings of Peacock Butterfly. |  Dried Lavender Flowers. | Porcelain Jasper. |

45.  | Pale Blackish Purple. |      |         |            | Porcelain Jasper. | atropheupuseus 

